name,address,x,y,type,level,tel
내가119안전센터,인천광역시 강화군 내가면 강화서로 235-1,,,소방,안전센터,
계양소방서(작전119안전센터),인천광역시 계양구 장제로774,,,소방,소방서,
계산119안전센터,인천광역시 계양구 주부토로557,,,소방,안전센터,
장기119안전센터,인천광역시 계양구 장기서로14,,,소방,안전센터,
효성119안전센터,인천광역시 계양구 효서로 96-1,,,소방,안전센터,
공단소방서(고잔119안전센터),인천광역시 남동구 남동서로 208,,,소방,소방서,
남동소방서(구월119안전센터),인천광역시 남동구 인주대로 714,,,소방,소방서,
논현119안전센터,인천광역시 남동구 소래역로 109,,,소방,안전센터,
도림119안전센터,인천광역시 남동구 비류대로 667,,,소방,안전센터,
소래119안전센터,인천광역시 남동구 에코중앙로 86,,,소방,안전센터,
간석119안전센터,인천광역시 남동구 경인로 621,,,소방,안전센터,
담방119안전센터,인천광역시 남동구 매소홀로 1044,,,소방,안전센터,
만수119안전센터,인천광역시 남동구 백범로 207,,,소방,안전센터,
서창119안전센터,인천광역시 남동구 서창방산로 61,,,소방,안전센터,
만석119안전센터,인천광역시 동구 제물량로 396,,,소방,안전센터,
송림119안전센터,인천광역시 동구 샛골로 133,,,소방,안전센터,
송현119안전센터,인천광역시 동구 방축로 39,,,소방,안전센터,
미추홀소방서(신기119안전센터),인천광역시 미추홀구 인하로 190,,,소방,소방서,
관교119안전센터,인천광역시 미추홀구 인하로 450,,,소방,안전센터,
도화119안전센터,인천광역시 미추홀구 장고개로 85,,,소방,안전센터,
숭의119안전센터,인천광역시 미추홀구 석정로49번길 30,,,소방,안전센터,
용현119안전센터,인천광역시 미추홀구 독배로 376,,,소방,안전센터,
주안119안전센터,인천광역시 미추홀구 한나루로 607,,,소방,안전센터,
부평소방서(갈산119안전센터),인천광역시 부평구 부평대로 324,,,소방,소방서,
부개119안전센터,인천광역시 부평구 부개로 6,,,소방,안전센터,
부평119안전센터,인천광역시 부평구 부평대로 8,,,소방,안전센터,
산곡119안전센터,인천광역시 부평구 마장로 198,,,소방,안전센터,
삼산119안전센터,인천광역시 부평구 충선로 252,,,소방,안전센터,
십정119안전센터,인천광역시 부평구 경원대로 1111,,,소방,안전센터,
검단소방서(마전119안전센터),인천광역시 서구 원당대로736,,,소방,소방서,
서부소방서,인천광역시 서구 서곶로 326,,,소방,소방서,
검단119안전센터,인천광역시 서구 완정로191,,,소방,안전센터,
오류119안전센터,인천광역시 서구 대촌로6,,,소방,안전센터,
원당119안전센터,인천광역시 서구 원당대로881,,,소방,안전센터,
가좌119안전센터,인천광역시 서구 백범로678번길 17,,,소방,안전센터,
검암119안전센터,인천광역시 서구 승학로 474,,,소방,안전센터,
석남119안전센터,인천광역시 서구 석남로 102,,,소방,안전센터,
신현119안전센터,인천광역시 서구 가정로 333-1,,,소방,안전센터,
연희119안전센터,인천광역시 서구 서곶로 292,,,소방,안전센터,
원창119안전센터,인천광역시 서구 북항로32번길 47-5,,,소방,안전센터,
청라119안전센터,인천광역시 서구 청라한내로 77,,,소방,안전센터,
송도소방서(미래119안전센터),인천광역시 연수구 첨단대로60번길 15,,,소방,소방서,
동춘119안전센터,인천광역시 연수구 앵고개로 241,,,소방,안전센터,
옥련119안전센터,인천광역시 연수구 청량로155번길 7,,,소방,안전센터,
국제119안전센터,인천광역시 연수구 센트럴로 412,,,소방,안전센터,
신송119안전센터,인천광역시 연수구 해돋이로 92,,,소방,안전센터,
영흥119안전센터,인천광역시 옹진군 영흥로 283-32,,,소방,안전센터,
백령119안전센터,인천광역시 옹진군 백령면 백령남로 30,,,소방,안전센터,
영종소방서(공항119안전센터),인천광역시 중구 제2터미널대로 268,,,소방,소방서,
중부소방서(중앙119안전센터),인천광역시 중구 인중로 204,,,소방,소방서,
공항119안전센터,인천광역시 중구 제2터미널대로 268,,,소방,안전센터,
용유119안전센터,인천광역시 중구 용유서로128번길 1,,,소방,안전센터,
운남119안전센터,인천광역시 중구 운남로 116,,,소방,안전센터,
운서119안전센터,인천광역시 중구 흰바위로27번길 16,,,소방,안전센터,
연안119안전센터,인천광역시 중구 축항대로118번길 108,,,소방,안전센터,
광명119안전센터,경기도 광명시 목감로 306,,,소방,안전센터,
광명소방서(소하119안전센터),경기도 광명시 금하로 472,,,소방,소방서,
하안119안전센터,경기도 광명시 범안로 1025,,,소방,안전센터,
광남119안전센터,경기도 광명시 목감로 34,,,소방,안전센터,
김포소방서(중앙119안전센터),경기도 김포시 감암로 111,,,소방,소방서,
양촌119안전센터,경기도 김포시 양곡1로 85,,,소방,안전센터,
마산119안전센터,경기도 김포시 김포한강8로 196,,,소방,안전센터,
대곶119안전센터,경기도 김포시 대곶면 수남로 104,,,소방,안전센터,
통진119안전센터,경기도 김포시 통진읍 김포대로 2250,,,소방,안전센터,
고촌119안전센터,경기도 김포시 고촌읍 은행영사정로 31,,,소방,안전센터,
하성119안전센터,경기도 김포시 하성면 하성로 404,,,소방,안전센터,
괴안119안전센터,경기도 부천시 소사구 부광로8번길 49,,,소방,안전센터,
범박119안전센터,경기도 부천시 소사구 범안로 127,,,소방,안전센터,
오정119안전센터,경기도 부천시 오정구 신흥로 499,,,소방,안전센터,
원종119안전센터,경기도 부천시 오정구 원종로79번길 41,,,소방,안전센터,
여월119안전센터,경기도 부천시 오정구 여월로 62,,,소방,안전센터,
부천소방서(중앙119안전센터),경기도 부천시 원미구 신흥로 115,,,소방,소방서,
중동119안전센터,경기도 부천시 원미구 부일로 346,,,소방,안전센터,
상동119안전센터,경기도 부천시 원미구 장말로 113,,,소방,안전센터,
서부119안전센터,경기도 부천시 원미구 계남로 169,,,소방,안전센터,
신상119안전센터,경기도 부천시 원미구 상동로117번길 36,,,소방,안전센터,
시흥소방서(시흥119안전센터),경기도 시흥시 정왕신길로 206,,,소방,소방서,
은행119안전센터,경기도 시흥시 대은로 4,,,소방,안전센터,
정왕119안전센터,경기도 공단1대로259번길 1,,,소방,안전센터,
연성119안전센터,경기도 시흥시 새재로 29,,,소방,안전센터,
목감119안전센터,경기도 시흥시 목감우회로 15,,,소방,안전센터,
배곧119안전센터,경기도 시흥시 서울대학로278번길 80,,,소방,안전센터,
사동119안전센터,경기도 안산시 상록구 항가울로 230 (사동),,,소방,안전센터,
반월119안전센터,경기도 안산시 상록구 건지미길 48 (건건동),,,소방,안전센터,
상록수119안전센터,경기도 안산시 상록구 충장로 237 (본오동),,,소방,안전센터,
월피119안전센터,경기도 안산시 상록구 충장로 645 (월피동),,,소방,안전센터,
군자119안전센터,경기도 안산시 단원구 번영1로 45 (성곡동),,,소방,안전센터,
대부119안전센터,경기도 안산시 단원구 영전로 375 (대부동동),,,소방,안전센터,
신길119안전센터,경기도 안산시 단원구 삼일로 50(신길동),,,소방,안전센터,
안산소방서(고잔119안전센터),경기도 안산시 단원구 화랑로 407 (고잔동),,,소방,소방서,
원시119안전센터,경기도 안산시 단원구 동산로 31 (원시동),,,소방,안전센터,
선부119안전센터,경기도 안산시 단원구 선부광장서로 43 (선부동),,,소방,안전센터,
성곡119안전센터,경기도 안산시 단원구 장자골로 66 (성곡동),,,소방,안전센터,
